metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
recall5,bge_m3_hybrid_315,nemotron_topk400,0.13126794418107765,0.0,0.125213526714526,0.1373223616476293,2182,216,12579,2976156.0,0.0,0.0,True
recall5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.11657875408960405,0.0,0.11087015049927454,0.12228735767993357,1926,180,12871,2506410.0,0.0,0.0,True
recall5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.13587500834613073,0.0,0.12971044917022842,0.14203956752203303,2265,230,12482,3157900.0,0.0,0.0,True
recall5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.13460639647459438,0.0,0.1285002739214095,0.14071251902777926,2232,216,12529,2970756.0,0.0,0.0,True
recall5,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.008679975963143486,0.0,-0.011434279366439619,-0.005925672559847354,157,287,14533,2316613.5,6.849459195246075e-10,8.21935103429529e-09,True
recall5,bge_m3_hybrid_414,bge_m3_hybrid_513,0.02203378513721039,0.0,0.017405134037657203,0.026662436236763575,794,464,13719,6657704.0,1.3515233218524085e-20,2.1624373149638537e-19,True
recall5,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.02203378513721039,0.0,0.017405134037657203,0.026662436236763575,794,464,13719,6657704.0,1.3515233218524085e-20,2.1624373149638537e-19,True
recall5,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.02203378513721039,0.0,0.017405134037657203,0.026662436236763575,794,464,13719,6657704.0,1.3515233218524085e-20,2.1624373149638537e-19,True
recall5,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.002871068972424384,0.0,-0.00454139840760618,-0.001200739537242588,60,103,14814,893760.0,0.0007571012158112689,0.006056809726490151,True
recall5,bge_m3_hybrid_414,reranked_results,0.10349202109901849,0.0,0.0974749801946037,0.10950906200343329,1912,362,12703,5010261.0,9.369557818969918e-232,3.3730408148291706e-230,True
recall5,bge_m3_hybrid_414,nemotron_topk400,0.15196634840088136,0.0,0.1456242433709134,0.15830845343084932,2485,209,12283,2848774.5,0.0,0.0,True
recall5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.13727715830940776,0.0,0.13122298000410557,0.14333133661470995,2239,183,12555,2519269.5,0.0,0.0,True
recall5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.15657341256593443,0.0,0.1501458444239376,0.16300098070793126,2562,217,12198,2948596.0,0.0,0.0,True
recall5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.1553048006943981,0.0,0.14892951190397802,0.16168008948481816,2530,204,12243,2776542.0,0.0,0.0,True
recall5,bge_m3_hybrid_424,bge_m3_hybrid_513,0.030713761100353877,0.0,0.025880284551702885,0.03554723764900487,919,459,13599,6558421.5,2.895929346411144e-35,7.819009235310088e-34,True
recall5,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.030713761100353877,0.0,0.025880284551702885,0.03554723764900487,919,459,13599,6558421.5,2.895929346411144e-35,7.819009235310088e-34,True
recall5,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.030713761100353877,0.0,0.025880284551702885,0.03554723764900487,919,459,13599,6558421.5,2.895929346411144e-35,7.819009235310088e-34,True
recall5,bge_m3_hybrid_424,bge_m3_hybrid_514,0.005808906990719102,0.0,0.003144305213400882,0.008473508768037322,251,164,14562,2422280.0,1.9489356101720773e-05,0.00017540420491548697,True
recall5,bge_m3_hybrid_424,reranked_results,0.11217199706216198,0.0,0.1060170921832997,0.11832690194102426,2040,360,12577,4959900.0,1.0027958437193998e-257,3.8106242061337196e-256,True
recall5,bge_m3_hybrid_424,nemotron_topk400,0.16064632436402485,0.0,0.15417936865147705,0.16711328007657264,2617,211,12149,2861898.5,0.0,0.0,True
recall5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.14595713427255125,0.0,0.139755944691681,0.15215832385342148,2375,189,12413,2588449.5,0.0,0.0,True
recall5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.16525338852907792,0.0,0.15870939772522652,0.17179737933292932,2692,217,12068,2934491.0,0.0,0.0,True
recall5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.16398477665754158,0.0,0.15748905501510263,0.17048049829998052,2661,205,12111,2776622.5,0.0,0.0,True
